Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,,2020 Population,2020VS1970,2020VS2010,2020VS2015,2015 Population,2015vs2010,2010 Population,2010vs2000,2000 Population,2000vs1990,1990 Population,1990vs1980,1980 Population,1980vs1970,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
187,STP,Sao Tome and Principe,São Tomé,Africa,227380,1.13054633,218641,2.818156039,1.200413972,1.087095523,201124,1.104239642,182138,1.267364349,143714,1.194203236,120343,1.237969345,97210,1.252980679,77583,964,235.8714,1.0192,0
41,SAU,Saudi Arabia,Riyadh,Asia,36408820,1.111724854,35997107,5.895181955,1.223894801,1.099153407,32749848,1.113488612,29411929,1.36498801,21547390,1.346311095,16004763,1.573458445,10171710,1.665802789,6106191,2149690,16.9368,1.0128,0.46
72,SEN,Senegal,Dakar,Africa,17316449,1.206201635,16436119,3.763068303,1.311728674,1.14488101,14356181,1.145733629,12530121,1.291194397,9704287,1.287723688,7536001,1.321208639,5703869,1.305907352,4367744,196722,88.025,1.0261,0.22
105,SRB,Serbia,Belgrade,Europe,7221365,0.960352263,7358005,1.02286387,0.961359716,0.978523694,7519496,0.982459313,7653748,0.964552839,7935022,0.993426378,7987529,1.027069401,7777010,1.081111326,7193533,88361,81.7257,0.9897,0.09
196,SYC,Seychelles,Victoria,Africa,107118,1.079383313,105530,1.94063885,1.141988334,1.063381701,99240,1.073921371,92409,1.154246815,80060,1.126701099,71057,1.088328994,65290,1.200647309,54379,452,236.9867,1.0061,0
102,SLE,Sierra Leone,Freetown,Africa,8605718,1.176484629,8233969,2.963397548,1.279222514,1.125662956,7314773,1.136416995,6436698,1.404145707,4584067,1.059804808,4325388,1.284459552,3367477,1.211951743,2778557,71740,119.957,1.022,0.11
113,SGP,Singapore,Singapore,Asia,5975689,1.057640701,5909869,2.866320761,1.14452716,1.045991181,5650018,1.094203451,5163590,1.273827574,4053602,1.341271236,3022209,1.258871368,2400729,1.164367497,2061831,710,8416.4634,1.0058,0.07
214,SXM,Sint Maarten,Philipsburg,America,44175,1.098743937,43621,6.968210863,1.320487982,1.084964557,40205,1.217079373,33034,1.083472728,30489,1.094954211,27845,2.274360859,12243,1.955750799,6260,34,1299.2647,1.003,0
116,SVK,Slovakia,Bratislava,Europe,5643453,1.04037446,5456681,1.206465059,1.011166098,1.005942913,5424444,1.005192327,5396424,1.003670288,5376690,1.021930871,5261305,1.057786241,4973883,1.09971905,4522867,49037,115.0856,1.0359,0.07
148,SVN,Slovenia,Ljubljana,Europe,2119844,1.018733583,2117641,1.216136235,1.029337195,1.017674887,2080862,1.011459758,2057286,1.03676136,1984339,0.999151571,1986024,1.044412775,1901570,1.09204921,1741286,20273,104.5649,1.0002,0.03
166,SLB,Solomon Islands,Honiara,Oceania,724273,1.182177717,691191,3.999184184,1.2790501,1.128180394,612660,1.133728354,540394,1.256794534,429978,1.326392552,324171,1.38731448,233668,1.351987178,172833,28896,25.0648,1.0232,0.01
70,SOM,Somalia,Mogadishu,Africa,17597511,1.27852595,16537016,4.444267191,1.375031066,1.201476964,13763906,1.144450628,12026649,1.378971193,8721465,1.246084494,6999096,1.187853008,5892224,1.583515297,3720977,637657,27.5971,1.0312,0.22
